"Groupe";"pid";"Etablissement";"Groupe.détaillé";"Comparable";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.IMO.P.batiments";"kpi.IMO.S.état_satisfaisant";"kpi.IMO.S.énergie_ABC";"kpi.IMO.S.GES_ABC";"kpi.IMO.S.propriété_propre";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper";"kpi.K.dotPetu"
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2012;NA;3;NA;NA;NA;607;607;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2013;NA;15;NA;NA;NA;719;719;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2014;21;20;7;0;1;801;801;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,62172284644195;NA;NA;NA
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2015;10;7;7;1;2;1048;1048;0;0;0;23;11;3;9;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,858778625954199;0,363636363636364;0,696969696969697;NA
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2016;12;8;8;1;3;1048;1048;0;0;0;27;11;3;13;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,04961832061069;0,333333333333333;0,692307692307692;NA
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2017;22;18;6;1;3;1027;1027;0;0;0;27;5;5;17;8;NA;NA;NA;NA;NA;NA;4;0;0;0;0;NA;NA;NA;NA;2,04479065238559;0,530612244897959;0,551020408163265;NA
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2018;27;17;0;4;6;1036;1036;0;0;89;35;8;12;15;10;NA;NA;NA;NA;NA;NA;4;0;0;0;0;NA;NA;NA;NA;2,22007722007722;0,435483870967742;0,564516129032258;NA
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2019;39;36;20;3;0;1123;1123;0;0;64;14;7;4;3;NA;3382008;858148;2845212;243551;100625;988918;4;0;0;0;0;0,841278908861245;3011,58325912734;216,875333926981;5031,25;3,20569902048085;NA;0,264150943396226;2533,58147818344
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2020;49;40;25;5;4;1256;1256;0;0;91;41;18;9;14;17;3783085;1123669;3181276;NA;NA;817348;4;0;0;0;3;0,840921100107452;3012,01035031847;NA;NA;3,5031847133758;0,633333333333333;0,455555555555556;2532,86305732484
"Universités et assimilés";"pVJpw";"Centre universitaire de Mayotte";"Universités et assimilés";FALSE;2021;NA;43;NA;NA;NA;1335;1335;0;0;0;39;30;6;3;17;NA;NA;NA;NA;NA;NA;4;0;0;0;3;NA;NA;NA;NA;NA;NA;NA;NA
