UAI,Etablissement,Type,Groupe,PerimEx,Association,Comparable
0753560M,École supérieure d'informatique électronique automatique,École,Ecoles d'ingénieurs,,,TRUE
0142182W,École supérieure d'ingénieurs des travaux de la construction de Caen,École,Ecoles d'ingénieurs,,,TRUE
0573389Z,École supérieure d'ingénieurs des travaux de la construction de Metz,École,Ecoles d'ingénieurs,,,TRUE
0941954N,École supérieure d'ingénieurs des travaux de la construction de Paris,École,Ecoles d'ingénieurs,,,TRUE
0801911T,École supérieure d'ingénieurs en électronique et électrotechnique d'Amiens,École,Ecoles d'ingénieurs,,,TRUE
0762378X,École supérieure d'ingénieurs en génie électrique,École,Ecoles d'ingénieurs,,,TRUE
0922563L,École supérieure d'ingénieurs Léonard-de-Vinci,École,Ecoles d'ingénieurs,,,TRUE
0490072M,École supérieure d’agriculture,École,Ecoles d'ingénieurs,,,TRUE
0602099F,École supérieure de chimie organique et minérale,École,Ecoles d'ingénieurs,,,TRUE
0693623N,École supérieure de chimie physique électronique de Lyon,École,Ecoles d'ingénieurs,,,TRUE
0920672F,École supérieure de fonderie et de forge,École,Ecoles d'ingénieurs,,,TRUE
0783664J,École supérieure des techniques aéronautiques et de construction automobile,École,Ecoles d'ingénieurs,,,TRUE
0641923T,École supérieure des technologies industrielles avancées,École,Ecoles d'ingénieurs,,,TRUE
0442278M,École supérieure du bois,École,Ecoles d'ingénieurs,,,TRUE
0920674H,EPF - École d'ingénieurs,École,Ecoles d'ingénieurs,,,TRUE
0932019P,ESIEE Paris,École,Ecoles d'ingénieurs,,,TRUE
,Groupe Institut catholique d'arts et métiers,École,Ecoles d'ingénieurs,,,TRUE
0590348H,Hautes études d'ingénieur,École,Ecoles d'ingénieurs,,,TRUE
0597131F,INSA Hauts-de-France,Institut ou école extérieur aux universités,Ecoles d'ingénieurs,,,TRUE
0870997L,Institut d'ingénierie informatique de Limoges,École,Ecoles d'ingénieurs,,,TRUE
0912424R,"Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school",Grand établissement,Ecoles d'ingénieurs,,,TRUE
0756246G,"Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement",Grand établissement,Ecoles d'ingénieurs,,,TRUE
0180974L,Institut national des sciences appliquées Centre Val de Loire,École,Ecoles d'ingénieurs,,,TRUE
0690192J,Institut national des sciences appliquées de Lyon,École,Ecoles d'ingénieurs,,,TRUE
0350097R,Institut national des sciences appliquées de Rennes,École,Ecoles d'ingénieurs,,,TRUE
0760165S,Institut national des sciences appliquées de Rouen Normandie,École,Ecoles d'ingénieurs,,,TRUE
0670190T,Institut national des sciences appliquées de Strasbourg,École,Ecoles d'ingénieurs,,,TRUE
0310152X,Institut national des sciences appliquées de Toulouse,École,Ecoles d'ingénieurs,,,TRUE
0910685A,Institut national des sciences et techniques nucléaires,École,Ecoles d'ingénieurs,,,TRUE
0381912X,Institut polytechnique de Grenoble,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0912403T,Institut polytechnique de Paris,École,Ecoles d'ingénieurs,,,TRUE
0942144V,Institut polytechnique des sciences avancées,École,Ecoles d'ingénieurs,,,TRUE
0600071B,Institut polytechnique UniLaSalle,École,Ecoles d'ingénieurs,,,TRUE
0942193Y,Institut Sup'Biotech de Paris,École,Ecoles d'ingénieurs,,,TRUE
0590343C,Institut supérieur d'agriculture de Lille,École,Ecoles d'ingénieurs,,,TRUE
0753559L,Institut supérieur d'électronique de Paris,École,Ecoles d'ingénieurs,,,TRUE
0692353H,Institut supérieur d’agriculture Rhône-Alpes,École,Ecoles d'ingénieurs,,,TRUE
0312760G,Institut supérieur de l'aéronautique et de l'espace,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0292125C,Institut supérieur de l'électronique et du numérique de Brest,École,Ecoles d'ingénieurs,,,TRUE
0130238N,Institut supérieur du bâtiment et des travaux publics,École,Ecoles d'ingénieurs,,,TRUE
0693364G,Institut textile et chimique,École,Ecoles d'ingénieurs,,,TRUE
0930603A,ISAE-Supméca,École,Ecoles d'ingénieurs,,,TRUE
0721484X,ISMANS,École,Ecoles d'ingénieurs,,,TRUE
0597165T,Junia,École,Ecoles d'ingénieurs,,,TRUE
0311381H,Toulouse INP,École,Ecoles d'ingénieurs,,,TRUE
0900424X,Université de technologie de Belfort-Montbéliard,École,Ecoles d'ingénieurs,,,TRUE
0601223D,Université de technologie de Compiègne,École,Ecoles d'ingénieurs,,,TRUE
0101060Y,Université de technologie de Troyes,École,Ecoles d'ingénieurs,,,TRUE
0690193K,Vet Agro Sup,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0831458J,Yncréa Méditerranée,École,Ecoles d'ingénieurs,,,TRUE
0951310H,École nationale supérieure d'arts de Paris-Cergy,École,Ecoles d'art et de design,,,TRUE
0754585B,École nationale supérieure de création industrielle - Les Ateliers,École,Ecoles d'art et de design,,,TRUE
0753470P,École nationale supérieure des arts décoratifs,École,Ecoles d'art et de design,,,TRUE
0590338X,École nationale supérieure des arts et industries textiles,École,Ecoles d'art et de design,,,TRUE
0753667D,École nationale supérieure des beaux-arts,École,Ecoles d'art et de design,,,TRUE
0801367B,École supérieure d'art et de design d'Amiens,École,Ecoles d'art et de design,,,TRUE
